Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage
1;  4;  1.036269;  0.010363;  4;  1.036269;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  177;  45.854922;  0.772021;  98;  25.388601;  50;  12.953368;  19;  4.922280;  8;  2.072539;  1;  0.259067;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  178;  46.113990;  0.725389;  112;  29.015544;  42;  10.880829;  15;  3.886010;  6;  1.554404;  3;  0.777202;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  181;  46.891192;  0.748705;  112;  29.015544;  45;  11.658031;  13;  3.367876;  8;  2.072539;  2;  0.518135;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  176;  45.595855;  0.746114;  104;  26.943005;  46;  11.917098;  18;  4.663212;  5;  1.295337;  1;  0.259067;  1;  0.259067;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  185;  47.927461;  0.738342;  119;  30.829016;  47;  12.176166;  10;  2.590674;  6;  1.554404;  1;  0.259067;  1;  0.259067;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  173;  44.818653;  0.709845;  106;  27.461140;  45;  11.658031;  15;  3.886010;  4;  1.036269;  1;  0.259067;  2;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  179;  46.373057;  0.717617;  113;  29.274611;  42;  10.880829;  17;  4.404145;  6;  1.554404;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  176;  45.595855;  0.722798;  104;  26.943005;  53;  13.730570;  11;  2.849741;  4;  1.036269;  4;  1.036269;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  171;  44.300518;  0.748705;  99;  25.647668;  46;  11.917098;  14;  3.626943;  7;  1.813472;  3;  0.777202;  1;  0.259067;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  179;  46.373057;  0.743523;  112;  29.015544;  40;  10.362694;  18;  4.663212;  6;  1.554404;  2;  0.518135;  0;  0.000000;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  180;  46.632124;  0.764249;  106;  27.461140;  48;  12.435233;  18;  4.663212;  5;  1.295337;  1;  0.259067;  1;  0.259067;  0;  0.000000;  1;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
