Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
1;  673;  87.176166;  4.147668;  78;  10.103627;  99;  12.823834;  80;  10.362694;  79;  10.233161;  90;  11.658031;  79;  10.233161;  56;  7.253886;  41;  5.310881;  29;  3.756477;  21;  2.720207;  7;  0.906736;  7;  0.906736;  5;  0.647668;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  680;  88.082902;  4.085492;  97;  12.564767;  89;  11.528497;  87;  11.269430;  79;  10.233161;  92;  11.917098;  79;  10.233161;  52;  6.735751;  34;  4.404145;  29;  3.756477;  15;  1.943005;  14;  1.813472;  6;  0.777202;  4;  0.518135;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  686;  88.860104;  4.159326;  85;  11.010363;  100;  12.953368;  88;  11.398964;  86;  11.139896;  86;  11.139896;  79;  10.233161;  49;  6.347150;  44;  5.699482;  23;  2.979275;  18;  2.331606;  14;  1.813472;  7;  0.906736;  5;  0.647668;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  672;  87.046632;  4.121762;  82;  10.621762;  90;  11.658031;  93;  12.046632;  77;  9.974093;  89;  11.528497;  85;  11.010363;  45;  5.829016;  35;  4.533679;  29;  3.756477;  18;  2.331606;  14;  1.813472;  10;  1.295337;  3;  0.388601;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  679;  87.953368;  4.174870;  84;  10.880829;  82;  10.621762;  95;  12.305699;  94;  12.176166;  88;  11.398964;  68;  8.808290;  63;  8.160622;  28;  3.626943;  25;  3.238342;  23;  2.979275;  13;  1.683938;  11;  1.424870;  2;  0.259067;  0;  0.000000;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  677;  87.694301;  4.165803;  84;  10.880829;  90;  11.658031;  86;  11.139896;  87;  11.269430;  90;  11.658031;  77;  9.974093;  56;  7.253886;  33;  4.274611;  22;  2.849741;  20;  2.590674;  16;  2.072539;  10;  1.295337;  1;  0.129534;  4;  0.518135;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  677;  87.694301;  4.160622;  85;  11.010363;  93;  12.046632;  93;  12.046632;  83;  10.751295;  73;  9.455959;  81;  10.492228;  64;  8.290155;  26;  3.367876;  26;  3.367876;  21;  2.720207;  16;  2.072539;  8;  1.036269;  5;  0.647668;  3;  0.388601;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  681;  88.212435;  4.152850;  78;  10.103627;  97;  12.564767;  113;  14.637306;  70;  9.067358;  82;  10.621762;  75;  9.715026;  57;  7.383420;  36;  4.663212;  22;  2.849741;  22;  2.849741;  13;  1.683938;  8;  1.036269;  5;  0.647668;  0;  0.000000;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  680;  88.082902;  4.133420;  82;  10.621762;  93;  12.046632;  92;  11.917098;  80;  10.362694;  99;  12.823834;  78;  10.103627;  49;  6.347150;  29;  3.756477;  36;  4.663212;  14;  1.813472;  17;  2.202073;  7;  0.906736;  2;  0.259067;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  675;  87.435233;  4.155440;  95;  12.305699;  82;  10.621762;  81;  10.492228;  80;  10.362694;  90;  11.658031;  85;  11.010363;  47;  6.088083;  36;  4.663212;  33;  4.274611;  16;  2.072539;  18;  2.331606;  6;  0.777202;  3;  0.388601;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  673;  87.176166;  4.168394;  71;  9.196891;  104;  13.471503;  90;  11.658031;  77;  9.974093;  75;  9.715026;  81;  10.492228;  63;  8.160622;  42;  5.440415;  23;  2.979275;  23;  2.979275;  12;  1.554404;  6;  0.777202;  2;  0.259067;  4;  0.518135;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  677;  87.694301;  4.163212;  90;  11.658031;  83;  10.751295;  99;  12.823834;  81;  10.492228;  84;  10.880829;  71;  9.196891;  51;  6.606218;  39;  5.051813;  30;  3.886010;  17;  2.202073;  16;  2.072539;  7;  0.906736;  6;  0.777202;  1;  0.129534;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
13;  673;  87.176166;  4.124352;  80;  10.362694;  88;  11.398964;  100;  12.953368;  76;  9.844560;  84;  10.880829;  83;  10.751295;  55;  7.124352;  29;  3.756477;  31;  4.015544;  24;  3.108808;  13;  1.683938;  6;  0.777202;  2;  0.259067;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
14;  677;  87.694301;  4.111399;  84;  10.880829;  103;  13.341969;  89;  11.528497;  77;  9.974093;  88;  11.398964;  78;  10.103627;  44;  5.699482;  38;  4.922280;  27;  3.497409;  17;  2.202073;  18;  2.331606;  7;  0.906736;  5;  0.647668;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
15;  679;  87.953368;  4.108808;  93;  12.046632;  96;  12.435233;  87;  11.269430;  74;  9.585492;  95;  12.305699;  72;  9.326425;  44;  5.699482;  40;  5.181347;  36;  4.663212;  17;  2.202073;  8;  1.036269;  12;  1.554404;  3;  0.388601;  0;  0.000000;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
16;  676;  87.564767;  4.112694;  89;  11.528497;  92;  11.917098;  90;  11.658031;  76;  9.844560;  85;  11.010363;  81;  10.492228;  51;  6.606218;  34;  4.404145;  33;  4.274611;  21;  2.720207;  13;  1.683938;  8;  1.036269;  1;  0.129534;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
17;  678;  87.823834;  4.101036;  90;  11.658031;  91;  11.787565;  95;  12.305699;  70;  9.067358;  105;  13.601036;  67;  8.678756;  55;  7.124352;  29;  3.756477;  25;  3.238342;  22;  2.849741;  17;  2.202073;  6;  0.777202;  4;  0.518135;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
18;  679;  87.953368;  4.154145;  82;  10.621762;  96;  12.435233;  92;  11.917098;  85;  11.010363;  80;  10.362694;  83;  10.751295;  42;  5.440415;  47;  6.088083;  18;  2.331606;  29;  3.756477;  15;  1.943005;  4;  0.518135;  1;  0.129534;  4;  0.518135;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
19;  677;  87.694301;  4.098446;  84;  10.880829;  105;  13.601036;  88;  11.398964;  75;  9.715026;  82;  10.621762;  81;  10.492228;  55;  7.124352;  40;  5.181347;  19;  2.461140;  20;  2.590674;  14;  1.813472;  6;  0.777202;  5;  0.647668;  2;  0.259067;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
20;  676;  87.564767;  4.082902;  89;  11.528497;  94;  12.176166;  94;  12.176166;  77;  9.974093;  83;  10.751295;  83;  10.751295;  41;  5.310881;  41;  5.310881;  32;  4.145078;  17;  2.202073;  11;  1.424870;  9;  1.165803;  1;  0.129534;  3;  0.388601;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
21;  674;  87.305699;  4.125648;  82;  10.621762;  98;  12.694301;  97;  12.564767;  69;  8.937824;  86;  11.139896;  72;  9.326425;  56;  7.253886;  40;  5.181347;  27;  3.497409;  20;  2.590674;  16;  2.072539;  3;  0.388601;  4;  0.518135;  2;  0.259067;  1;  0.129534;  1;  0.129534;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
22;  679;  87.953368;  4.101036;  96;  12.435233;  93;  12.046632;  91;  11.787565;  72;  9.326425;  84;  10.880829;  80;  10.362694;  53;  6.865285;  38;  4.922280;  22;  2.849741;  24;  3.108808;  13;  1.683938;  6;  0.777202;  5;  0.647668;  0;  0.000000;  2;  0.259067;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
