Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage
1;  2;  0.325203;  0.003252;  2;  0.325203;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  524;  85.203252;  1.814634;  176;  28.617886;  170;  27.642276;  119;  19.349593;  52;  8.455285;  7;  1.138211;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  492;  80.000000;  1.710569;  167;  27.154472;  163;  26.504065;  105;  17.073171;  44;  7.154472;  11;  1.788618;  1;  0.162602;  1;  0.162602;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  516;  83.902439;  1.830894;  159;  25.853659;  180;  29.268293;  119;  19.349593;  42;  6.829268;  14;  2.276423;  2;  0.325203;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  515;  83.739837;  1.778862;  177;  28.780488;  177;  28.780488;  98;  15.934959;  48;  7.804878;  13;  2.113821;  2;  0.325203;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  529;  86.016260;  1.769106;  199;  32.357724;  179;  29.105691;  91;  14.796748;  46;  7.479675;  11;  1.788618;  2;  0.325203;  1;  0.162602;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  537;  87.317073;  1.873171;  174;  28.292683;  193;  31.382114;  100;  16.260163;  59;  9.593496;  10;  1.626016;  1;  0.162602;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  520;  84.552846;  1.801626;  163;  26.504065;  199;  32.357724;  108;  17.560976;  31;  5.040650;  15;  2.439024;  4;  0.650407;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  526;  85.528455;  1.765854;  202;  32.845528;  164;  26.666667;  100;  16.260163;  45;  7.317073;  14;  2.276423;  1;  0.162602;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  525;  85.365854;  1.837398;  180;  29.268293;  162;  26.341463;  122;  19.837398;  46;  7.479675;  14;  2.276423;  1;  0.162602;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
