Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage
1;  179;  11.638492;  0.130689;  161;  10.468140;  14;  0.910273;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  164;  10.663199;  0.119636;  147;  9.557867;  14;  0.910273;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  183;  11.898570;  0.138492;  156;  10.143043;  25;  1.625488;  1;  0.065020;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  160;  10.403121;  0.120936;  138;  8.972692;  18;  1.170351;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  160;  10.403121;  0.114434;  145;  9.427828;  14;  0.910273;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  179;  11.638492;  0.134590;  156;  10.143043;  18;  1.170351;  5;  0.325098;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  185;  12.028609;  0.135891;  164;  10.663199;  18;  1.170351;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  172;  11.183355;  0.126138;  155;  10.078023;  13;  0.845254;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  163;  10.598179;  0.124187;  140;  9.102731;  19;  1.235371;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  170;  11.053316;  0.126138;  147;  9.557867;  22;  1.430429;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
11;  170;  11.053316;  0.125488;  151;  9.817945;  16;  1.040312;  2;  0.130039;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
12;  181;  11.768531;  0.136541;  156;  10.143043;  21;  1.365410;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
13;  175;  11.378414;  0.133940;  149;  9.687906;  22;  1.430429;  3;  0.195059;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
14;  175;  11.378414;  0.130689;  153;  9.947984;  18;  1.170351;  4;  0.260078;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
15;  162;  10.533160;  0.119636;  140;  9.102731;  22;  1.430429;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
