Step;  Passed RM Count;  Passed RM Percentage;  Avg. Passed OM Count;  1 OM Count;  1 OM Percentage;  2 OM Count;  2 OM Percentage;  3 OM Count;  3 OM Percentage;  4 OM Count;  4 OM Percentage;  5 OM Count;  5 OM Percentage;  6 OM Count;  6 OM Percentage;  7 OM Count;  7 OM Percentage;  8 OM Count;  8 OM Percentage;  9 OM Count;  9 OM Percentage;  10 OM Count;  10 OM Percentage;  11 OM Count;  11 OM Percentage;  12 OM Count;  12 OM Percentage;  13 OM Count;  13 OM Percentage;  14 OM Count;  14 OM Percentage;  15 OM Count;  15 OM Percentage;  16 OM Count;  16 OM Percentage;  17 OM Count;  17 OM Percentage;  18 OM Count;  18 OM Percentage;  19 OM Count;  19 OM Percentage;  20 OM Count;  20 OM Percentage
1;  1520;  98.829649;  7.036411;  33;  2.145644;  62;  4.031209;  90;  5.851756;  113;  7.347204;  171;  11.118336;  208;  13.524057;  171;  11.118336;  175;  11.378414;  154;  10.013004;  125;  8.127438;  98;  6.371912;  63;  4.096229;  34;  2.210663;  17;  1.105332;  4;  0.260078;  1;  0.065020;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000
2;  1520;  98.829649;  6.990897;  38;  2.470741;  59;  3.836151;  95;  6.176853;  135;  8.777633;  163;  10.598179;  178;  11.573472;  182;  11.833550;  180;  11.703511;  142;  9.232770;  131;  8.517555;  102;  6.631990;  61;  3.966190;  30;  1.950585;  18;  1.170351;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
3;  1518;  98.699610;  7.033810;  32;  2.080624;  58;  3.771131;  92;  5.981795;  129;  8.387516;  148;  9.622887;  215;  13.979194;  179;  11.638492;  162;  10.533160;  147;  9.557867;  146;  9.492848;  88;  5.721717;  70;  4.551365;  29;  1.885566;  16;  1.040312;  5;  0.325098;  2;  0.130039;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
4;  1519;  98.764629;  7.019506;  37;  2.405722;  51;  3.315995;  93;  6.046814;  126;  8.192458;  169;  10.988296;  188;  12.223667;  192;  12.483745;  167;  10.858257;  165;  10.728218;  110;  7.152146;  107;  6.957087;  56;  3.641092;  32;  2.080624;  20;  1.300390;  5;  0.325098;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
5;  1521;  98.894668;  7.022107;  32;  2.080624;  68;  4.421326;  81;  5.266580;  130;  8.452536;  165;  10.728218;  181;  11.768531;  196;  12.743823;  165;  10.728218;  160;  10.403121;  141;  9.167750;  87;  5.656697;  60;  3.901170;  37;  2.405722;  13;  0.845254;  4;  0.260078;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
6;  1519;  98.764629;  7.016905;  30;  1.950585;  66;  4.291287;  81;  5.266580;  135;  8.777633;  161;  10.468140;  199;  12.938882;  179;  11.638492;  173;  11.248375;  154;  10.013004;  134;  8.712614;  93;  6.046814;  48;  3.120936;  44;  2.860858;  16;  1.040312;  6;  0.390117;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
7;  1520;  98.829649;  7.076723;  36;  2.340702;  63;  4.096229;  78;  5.071521;  134;  8.712614;  158;  10.273082;  186;  12.093628;  177;  11.508453;  174;  11.313394;  171;  11.118336;  111;  7.217165;  114;  7.412224;  57;  3.706112;  34;  2.210663;  20;  1.300390;  6;  0.390117;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
8;  1521;  98.894668;  7.027308;  37;  2.405722;  53;  3.446034;  97;  6.306892;  125;  8.127438;  168;  10.923277;  184;  11.963589;  181;  11.768531;  183;  11.898570;  142;  9.232770;  146;  9.492848;  94;  6.111834;  54;  3.511053;  31;  2.015605;  15;  0.975293;  10;  0.650195;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
9;  1520;  98.829649;  7.006502;  29;  1.885566;  61;  3.966190;  94;  6.111834;  133;  8.647594;  155;  10.078023;  194;  12.613784;  185;  12.028609;  159;  10.338101;  184;  11.963589;  136;  8.842653;  76;  4.941482;  63;  4.096229;  30;  1.950585;  12;  0.780234;  6;  0.390117;  2;  0.130039;  1;  0.065020;  0;  0.000000;  0;  0.000000;  0;  0.000000
10;  1521;  98.894668;  7.063719;  33;  2.145644;  58;  3.771131;  94;  6.111834;  112;  7.282185;  174;  11.313394;  194;  12.613784;  174;  11.313394;  181;  11.768531;  154;  10.013004;  129;  8.387516;  101;  6.566970;  51;  3.315995;  41;  2.665800;  22;  1.430429;  3;  0.195059;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000;  0;  0.000000
